name,source,level,school,casttime,actiontype,range,components,duration,description,spelllists
wall-of-ice,Player's Handbook,6,evocation,1,action,120 feet,"V, S, M (a small piece of quartz)","Concentration, up to 10 minutes","['You create a wall of ice on a solid surface within range. You can form it into a hemispherical dome or a sphere with radius of up to 10 feet, or you can shape a flat surface made up of ten 10-foot-square panels. Each panel must be contiguous with another panel. In any form, the wall is 1 foot thick and lasts for the duration.']","If the wall cuts through a creature’s space when it appears, the creature within its area is pushed to one side of the wall and must make a Dexterity saving throw. On a failed save, the creature takes 10d6 cold damage, or half as much damage on a successful save."
druid-grove,Xanathar's Guide to Everything,6,abjuration,10,minutes,Touch,"V, S, M (mistletoe, which the spell consumes, that was harvested with a golden sickle under the light of a full moon)",24 hours,"['You invoke the spirits of nature to protect an area outdoors or underground. The area can be as small as a 30-foot cube or as large as a 90-foot cube. Buildings and other structures are excluded from the affected area. If you cast this spell in the same area every day for a year, the spell lasts until dispelled. The spell creates the following effects within the area. When you cast this spell, you can specify creatures as friends who are immune to the effects. You can also specify a password that, when spoken aloud, makes the speaker immune to these effects. The entire warded area radiates magic. A dispel magic cast on the area, if successful, removes only one of the following effects, not the entire area. That spell’s caster chooses which effect to end. Only when all its effects are gone is this spell dispelled.']","Solid Fog. You can fill any number of 5-foot squares on the ground with thick fog, making them heavily obscured. The fog reaches 10 feet high. In addition, every foot of movement through the fog costs 2 extra feet. To a creature immune to this effect, the fog obscures nothing and looks like soft mist, with motes of green light floating in the air."
eldritch-blast,Player's Handbook,0,cantrip,1,action,120 feet,"V, S",Instantaneous,"['A beam of crackling energy streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 force damage.']","At Higher Levels. The spell creates more than one beam when you reach higher levels: two beams at 5th level, three beams at 11th level, and four beams at 17th level. You can direct the beams at the same target or at different ones. Make a separate attack roll for each beam."
heal,Player's Handbook,6,evocation,1,action,60 feet,"V, S",Instantaneous,"['Choose a creature that you can see within range. A surge of positive energy washes through the creature, causing it to regain 70 hit points. The spell also ends blindness, deafness, and any diseases affecting the target. This spell has no effect on constructs or undead.']","At Higher Levels. When you cast this spell using a spell slot of 7th level or higher, the amount of healing increases by 10 for each slot level above 6th."
augury,Player's Handbook,2,divination,1,minute,Self,"V, S, M (specially marked sticks, bones, or similar tokens worth at least 25 gp)",Instantaneous,"['By casting gem-inlaid sticks, rolling dragon bones, laying out ornate cards, or employing some other divining tool, you receive an omen from an otherworldly entity about the results of a specific course of action that you plan to take within the next 30 minutes. The DM chooses from the following possible omens:']","The spell doesn’t take into account any possible circumstances that might change the outcome, such as the casting of additional spells or the loss or gain of a companion. If you cast the spell two or more times before completing your next long rest, there is a cumulative 25 percent chance for each casting after the first that you get a random reading. The DM makes this roll in secret."
healing-spirit,Xanathar's Guide to Everything,2,conjuration,1,action,60 feet,"V, S","Concentration, up to 1 minute",['You call forth a nature spirit to soothe the wounded. The intangible spirit appears in a space that is a 5-foot cube you can see within range. The spirit looks like a transparent beast or fey (your choice).'],"Until the spell ends, whenever you or a creature you can see moves into the spirits space for the first time on a turn or starts its turn there, you can cause the spirit to restore 1d6 hit points to that creature (no action required). The spirit can’t heal constructs or undead."
far-step,Xanathar's Guide to Everything,5,conjuration,1,action,Self,V,"Concentration, up to 1 minute","['You teleport up to 60 feet to an unoccupied space you can see. On each of your turns before the spell ends, you can use a bonus action to teleport in this way again.']","Sorcerer, Warlock, Wizard"
meteor-swarm,Player's Handbook,9,evocation,1,action,1 mile,"V, S",Instantaneous,"['Blazing orbs of fire plummet to the ground at four different points you can see within range. Each creature in a 40-foot-radius sphere centered on each point you choose must make a Dexterity saving throw. The sphere spreads around corners. A creature takes 20d6 fire damage and 20d6 bludgeoning damage on a failed save, or half as much damage on a successful one. A creature in the area of more than one fiery burst is affected only once.']",The spell damages objects in the area and ignites flammable objects that aren’t being worn or carried.
digital-phantom,Unearthed Arcana 7 - Modern Magic,2,abjuration,1,action,Self,"V, S, M (a small piece of copper wire)","Concentration, up to 1 hour","['This spell works to actively hide your presence within a computer system. For the spell’s duration, you and any other users you choose on your local network gain a +10 bonus to Intelligence checks to avoid detection by administrators, knowbots, tracking software, and the like. Whenever you and your chosen users leave any computer system you are working in while this spell is in effect, all trace of your previous presence in that system is erased.']","Sorcerer, Warlock, Wizard"
holy-aura,Player's Handbook,8,abjuration,1,action,Self,"V, S, M (a tiny reliquary worth at least 1,000 gp containing a sacred relic, such as a scrap of cloth from a saint’s robe or a piece of parchment from a religious text)","Concentration, up to 1 minute","['Divine light washes out from you and coalesces in a soft radiance in a 30-foot radius around you. Creatures of your choice in that radius when you cast this spell shed dim light in a 5-foot radius and have advantage on all saving throws, and other creatures have disadvantage on attack rolls against them until the spell ends. In addition, when a fiend or an undead hits an affected creature with a melee attack, the aura flashes with brilliant light. The attacker must succeed on a Constitution saving throw or be blinded until the spell ends.']",Cleric
mage-hand,Player's Handbook,0,cantrip,1,action,30 feet,"V, S",1 minute,"['A spectral, floating hand appears at a point you choose within range. The hand lasts for the duration or until you dismiss it as an action. The hand vanishes if it is ever more than 30 feet away from you or if you cast this spell again.']","You can use your action to control the hand. You can use the hand to manipulate an object, open an unlocked door or container, stow or retrieve an item from an open container, or pour the contents out of a vial. You can move the hand up to 30 feet each time you use it."
clairvoyance,Player's Handbook,3,divination,10,minutes,1 mile,"V, S, M (a focus worth at least 100 gp, either a jeweled horn for hearing or a glass eye for seeing)","Concentration, up to 10 minutes","['You create an invisible sensor within range in a location familiar to you (a place you have visited or seen before) or in an obvious location that is unfamiliar to you (such as behind a door, around a corner, or in a grove of trees). The sensor remains in place for the duration, and it can’t be attacked or otherwise interacted with.']","When you cast the spell, you choose seeing or hearing. You can use the chosen sense through the sensor as if you were in its space. As your action, you can switch between seeing and hearing. A creature that can see the sensor (such as a creature benefitting from see invisibility or truesight) sees a luminous, intangible orb about the size of your fist."
compelled-duel,Player's Handbook,1,enchantment,1,action,30 feet,V,"Concentration, up to 1 minute","['You attempt to compel a creature into a duel. One creature that you can see within range must make a Wisdom saving throw. On a failed save, the creature is drawn to you, compelled by your divine demand. For the duration, it has disadvantage on attack rolls against creatures other than you, and must make a Wisdom saving throw each time it attempts to move to a space that is more than 30 feet away from you; if it succeeds on this saving throw, this spell doesn’t restrict the target’s movement for that turn.']","The spell ends if you attack any other creature, if you cast a spell that targets a hostile creature other than the target, if a creature friendly to you damages the target or casts a harmful spell on it, or if you end your turn more than 30 feet away from the target."
dream-of-the-blue-veil,Tasha's Cauldron of Everything,7,conjuration,10,minutes,20 feet,"V, S, M (a magic item or a willing creature from the destination world)",6 hours,"['You and up to eight willing creatures within range fall unconscious for the spells’ duration and experience visions of another world on the Material Plane, such as Oerth, Toril, Krynn, or Eberron. If the spell reaches its full duration, the visions conclude with each of you encountering and pulling back a mysterious blue curtain. The spell then ends with you mentally and physically transported to the world that was in the visions.']","To cast this spell, you must have a magic item that originated on the world you wish to reach, and you must be aware of the world’s existence, even if you don’t know the world’s name. Your destination in the other world is a safe location within 1 mile of where the magic item was created. Alternatively, you can cast the spell if one of the affected creatures was born on the other world, which causes your destination to be a safe location within 1 mile of where that creature was born."
slow,Player's Handbook,3,transmutation,1,action,120 feet,"V, S, M (a drop of molasses)","Concentration, up to 1 minute",['You alter time around up to six creatures of your choice in a 40-foot cube within range. Each target must succeed on a Wisdom saving throw or be affected by this spell for the duration.'],"An affected target’s speed is halved, it takes a -2 penalty to AC and Dexterity saving throws, and it can’t use reactions. On its turn, it can use either an action or a bonus action, not both. Regardless of the creature’s abilities or magic items, it can’t make more than one melee or ranged attack during its turn."
summon-aberration,Tasha's Cauldron of Everything,4,conjuration,1,action,90 feet,"V, S, M (a pickled tentacle and an eyeball in a platinum inlaid vial worth at least 400 gp)","Concentration, up to 1 hour","['You call forth an aberrant spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Aberrant Spirit stat block. When you cast the spell, choose Beholderkin, Slaad, or Star Spawn. The creature resembles an aberration of that kind, which determines certain traits in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends.']","The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it take the Dodge action and uses its move to avoid danger."
shield-of-faith,Player's Handbook,1,abjuration,1,action,60 feet,"V, S, M (a small parchment with a bit of holy text written on it)","Concentration, up to 10 minutes","['A shimmering field appears and surrounds a creature of your choice within range, granting it a +2 bonus to AC for the duration.']","Cleric, Paladin"
project-image,Player's Handbook,7,illusion,1,action,500 miles,"V, S, M (a small replica of you made from materials worth at least 5 gp)","Concentration, up to 1 day","['You create an illusory copy of yourself that lasts for the duration. The copy can appear at any location within range that you have seen before, regardless of intervening obstacles. The illusion looks and sounds like you but is intangible. If the illusion takes any damage, it disappears, and the spell ends.']","You can use your action to move this illusion up to twice your speed, and make it gesture, speak, and behave in whatever way you choose. It mimics your mannerisms perfectly."
plant-growth,Player's Handbook,3,transmutation,1,hours,150 feet,"V, S",Instantaneous,"['This spell channels vitality into plants within a specific area. There are two possible uses for the spell, granting either immediate or long-term benefits.']","If you cast this spell using 1 action, choose a point within range. All normal plants in a 100-foot radius centered on that point become thick and overgrown. A creature moving through the area must spend 4 feet of movement for every 1 foot it moves."
create-spelljamming-helm,Spelljammer: Adventures in Space - Astral Adventurer's Guide,5,Transmutation,1,action,Touch,"V, S, M (a crystal rod worth at least 5000 gp, which the spell consumes)",Instantaneous,"['Holding the rod used in the casting of the spell, you touch a Large or smaller chair that is unoccupied. The rod disappears, and the chair is transformed into a Spelljamming Helm.']","Artificer, Wizard"
power-word-kill,Player's Handbook,9,enchantment,1,action,60 feet,V,Instantaneous,"['You utter a word of power that can compel one creature you can see within range to die instantly. If the creature you chose has 100 hit points or fewer, it dies. Otherwise, the spell has no effect.']","Bard, Sorcerer, Warlock, Wizard"
psychic-scream,Xanathar's Guide to Everything,9,enchantment,1,action,90 feet,S,Instantaneous,"['You unleash the power of your mind to blast the intellect of up to ten creatures of your choice that you can see within range. Creatures that have an Intelligence score of 2 or lower are unaffected.\nEach target must make an Intelligence saving throw. On a failed save, a target takes 14d6 psychic damage and is stunned. On a successful save, a target takes half as much damage and isn’t stunned. If a target is killed by this damage, its head explodes, assuming it has one.']","A stunned target can make an Intelligence saving throw at the end of each of its turns. On a successful save, the stunning effect ends."
ray-of-sickness,Player's Handbook,1,necromancy,1,action,60 feet,"V, S",Instantaneous,"['A ray of sickening greenish energy lashes out toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 2d8 poison damage and must make a Constitution saving throw. On a failed save, it is also poisoned until the end of your next turn.']","At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d8 for each slot level above 1st."
chain-lightning,Player's Handbook,6,evocation,1,action,150 feet,"V, S, M (a bit of fur; a piece of amber, glass, or a crystal rod; and three silver pins)",Instantaneous,"['You create a bolt of lightning that arcs toward a target of your choice that you can see within range. Three bolts then leap from that target to as many as three other targets, each of which must be within 30 feet of the first target. A target can be a creature or an object and can be targeted by only one of the bolts.']","A target must make a Dexterity saving throw. The target takes 10d8 lightning damage on a failed save, or half as much on a successful one."
conjure-elemental,Player's Handbook,5,conjuration,1,minute,90 feet,"V, S, M (burning incense for air, soft clay for earth, sulfur and phosphorus for fire, or water and sand for water)","Concentration, up to 1 hour","['You call forth an elemental servant. Choose an area of air, earth, fire, or water that fills a 10-foot cube within range. An elemental of challenge rating 5 or lower appropriate to the area you chose appears in an unoccupied space within 10 feet of it. For example, a fire elemental emerges from a bonfire, and an earth elemental rises up from the ground. The elemental disappears when it drops to 0 hit points or when the spell ends.']","The elemental is friendly to you and your companions for the duration. Roll initiative for the elemental, which has its own turns. It obeys any verbal commands that you issue to it (no action required by you). If you don’t issue any commands to the elemental, it defends itself from hostile creatures but otherwise takes no actions."
grease,Player's Handbook,1,conjuration,1,action,60 feet,"V, S, M (a bit of pork rind or butter)",1 minute,['Slick grease covers the ground in a 10-foot square centered on a point within range and turns it into difficult terrain for the duration.'],"When the grease appears, each creature standing in its area must succeed on a Dexterity saving throw or fall prone. A creature that enters the area or ends its turn there must also succeed on a Dexterity saving throw or fall prone."
summon-draconic-spirit-ua,Unearthed Arcana 78 - Draconic Options,5,conjuration,1,action,60 feet,"V, S, M (an art object from a dragon's hoard, worth at least 500 gp)","Concentration, up to 1 hour","['You call forth a draconic spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Draconic Spirit stat block. When you cast this spell, choose a family of dragon: Chromatic, Gem, or Metallic. The creature resembles a dragon of the chosen family, which determines certain traits in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends.']","The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its move to avoid danger."
temporal-shunt,Explorer's Guide to Wildemount,5,transmutation,1,spell,120 feet,"V, S",1 round,"[""You target the triggering creature, which must succeed on a Wisdom saving throw or vanish, being thrown to another point in time and causing the attack to miss or the spell to be wasted. At the start of its next turn, the target reappears where it was or in the closest unoccupied space. The target doesn't remember you casting the spell or being affected by it.""]","At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, you can target one additional creature for each slot level above 5th. All targets must be within 30 feet of each other."
silence,Player's Handbook,2,illusion,1,action,120 feet,"V, S","Concentration, up to 10 minutes","['For the duration, no sound can be created within or pass through a 20-foot-radius sphere centered on a point you choose within range. Any creature or object entirely inside the sphere is immune to thunder damage, and creatures are deafened while entirely inside it. Casting a spell that includes a verbal component is impossible there.']","Bard, Cleric, Ranger"
wrath-of-nature,Xanathar's Guide to Everything,5,evocation,1,action,120 feet,"V, S","Concentration, up to 1 minute","['You call out to the spirits of nature to rouse them against your enemies. Choose a point you can see within range. The spirits cause trees, rocks, and grasses in a 60-foot cube centered on that point to become animated until the spell ends.']",Grasses and Undergrowth. Any area of ground in the cube that is covered by grass or undergrowth is difficult terrain for your enemies.
holy-weapon,Xanathar's Guide to Everything,5,evocation,1,action,Touch,"V, S","Concentration, up to 1 hour","['You imbue a weapon you touch with holy power. Until the spell ends, the weapon emits bright light in a 30-foot radius and dim light for an additional 30 feet. In addition, weapon attacks made with it deal an extra 2d8 radiant damage on a hit. If the weapon isn’t already a magic weapon, it becomes one for the duration. As a bonus action on your turn, you can dismiss this spell and cause the weapon to emit a burst of radiance. Each creature of your choice that you can see within 30 feet of the weapon must make a Constitution saving throw. On a failed save, a creature takes 4d8 radiant damage, and it is blinded for 1 minute. On a successful save, a creature takes half as much damage and isn’t blinded. At the end of each of its turns, a blinded creature can make a Constitution saving throw, ending the effect on itself on a success.']","Cleric, Paladin"
ottos-irresistible-dance,Player's Handbook,6,enchantment,1,action,30 feet,V,"Concentration, up to 1 minute","['Choose one creature that you can see within range. The target begins a comic dance in place: shuffling, tapping its feet, and capering for the duration. Creatures that can’t be charmed are immune to this spell.']","A dancing creature must use all its movement to dance without leaving its space and has disadvantage on Dexterity saving throws and attack rolls. While the target is affected by this spell, other creatures have advantage on attack rolls against it. As an action, a dancing creature makes a Wisdom saving throw to regain control of itself. On a successful save, the spell ends."
maze,Player's Handbook,8,conjuration,1,action,60 feet,"V, S","Concentration, up to 10 minutes",['You banish a creature that you can see within range into a labyrinthine demiplane. The target remains there for the duration or until it escapes the maze.'],"The target can use its action to attempt to escape. When it does so, it makes a DC 20 Intelligence check. If it succeeds, it escapes, and the spell ends (a minotaur or goristro demon automatically succeeds)."
locate-creature,Player's Handbook,4,divination,1,action,Self,"V, S, M (a bit of fur from a bloodhound)","Concentration, up to 1 hour","['Describe or name a creature that is familiar to you. You sense the direction to the creature’s location, as long as that creature is within 1,000 feet of you. If the creature is moving, you know the direction of its movement.']","The spell can locate a specific creature known to you, or the nearest creature of a specific kind (such as a human or a unicorn), so long as you have seen such a creature up close – within 30 feet – at least once. If the creature you described or named is in a different form, such as being under the effects of a polymorph spell, this spell doesn’t locate the creature."
summon-elemental,Tasha's Cauldron of Everything,4,conjuration,1,action,90 feet,"V, S, M (air, a pebble, ash, and water inside a gold-inlaid vial worth at least 400 gp)","Concentration, up to 1 hour","['You call forth an elemental spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Elemental Spirit stat block. When you cast the spell, choose an element: Air, Earth, Fire, or Water. The creature resembles a bipedal form wreathed in the chosen element, which determines certain traits in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends.']","The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its move to avoid danger."
beast-sense,Player's Handbook,2,divination,1,action,Touch,S,"Concentration, up to 1 hour","['You touch a willing beast. For the duration of the spell, you can use your action to see through the beast’s eyes and hear what it hears, and continue to do so until you use your action to return to your normal senses.']","Druid, Ranger"
zephyr-strike,Xanathar's Guide to Everything,1,transmutation,1,action,Self,V,"Concentration, up to 1 minute","['You move like the wind. For the duration, your movement doesn’t provoke opportunity attacks.']","Once before the spell ends, you can give yourself advantage on one weapon attack roll on your turn. That attack deals an extra 1d8 force damage on a hit. Whether you hit or miss, your walking speed increases by 30 feet until the end of that turn."
sapping-sting,Explorer's Guide to Wildemount,0,cantrip,1,action,30 feet,"V, S",Instantaneous,['You sap the vitality of one creature you can see in range. The target must succeed on a Constitution saving throw or take 1d4 necrotic damage and fall prone.'],"At Higher Levels. This spell's damage increases by 1d4 when you reach 5th level (2d4), 11th level (3d4), and 17th level (4d4)."
sacred-flame,Player's Handbook,0,cantrip,1,action,60 feet,"V, S",Instantaneous,['Flame-like radiance descends on a creature that you can see within range. The target must succeed on a Dexterity saving throw or take 1d8 radiant damage. The target gains no benefit from cover for this saving throw.'],"At Higher Levels. The spell’s damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
sleep,Player's Handbook,1,enchantment,1,action,90 feet,"V, S, M (a pinch of fine sand, rose petals, or a cricket)",1 minute,"['This spell sends creatures into a magical slumber. Roll 5d8, the total is how many hit points of creatures this spell can affect. Creatures within 20 feet of a point you choose within range are affected in ascending order of their current hit points (ignoring unconscious creatures).']","Starting with the creature that has the lowest current hit points, each creature affected by this spell falls unconscious until the spell ends, the sleeper takes damage, or someone uses an action to shake or slap the sleeper awake. Subtract each creature’s hit points from the total before moving on to the creature with the next lowest hit points. A creature’s hit points must be equal to or less than the remaining total for that creature to be affected. Undead and creatures immune to being charmed aren’t affected by this spell."
conjure-fey,Player's Handbook,6,conjuration,1,action,90 feet,"V, S","Concentration, up to 1 hour","['You summon a fey creature of challenge rating 6 or lower, or a fey spirit that takes the form of a beast of challenge rating 6 or lower. It appears in an unoccupied space that you can see within range. The fey creature disappears when it drops to 0 hit points or when the spell ends.']","The fey creature is friendly to you and your companions for the duration. Roll initiative for the creature, which has its own turns. It obeys any verbal commands that you issue to it (no action required by you), as long as they don’t violate its alignment. If you don’t issue any commands to the fey creature, it defends itself from hostile creatures but otherwise takes no actions."
incendiary-cloud,Player's Handbook,8,conjuration,1,action,150 feet,"V, S","Concentration, up to 1 minute",['A swirling cloud of smoke shot through with white-hot embers appears in a 20-foot-radius sphere centered on a point within range. The cloud spreads around corners and is heavily obscured. It lasts for the duration or until a wind of moderate or greater speed (at least 10 miles per hour) disperses it.'],"When the cloud appears, each creature in it must make a Dexterity saving throw. A creature takes 10d8 fire damage on a failed save, or half as much damage on a successful one. A creature must also make this saving throw when it enters the spell’s area for the first time on a turn or ends its turn there."
mind-blank,Player's Handbook,8,abjuration,1,action,Touch,"V, S",24 hours,"[""Until the spell ends, one willing creature you touch is immune to psychic damage, any effect that would sense its emotions or read its thoughts, divination spells, and the charmed condition. The spell even foils wish spells and spells or effects of similar power used to affect the target's mind or to gain information about the target.""]","Bard, Wizard"
synaptic-static,Xanathar's Guide to Everything,5,enchantment,1,action,120 feet,"V, S",Instantaneous,"['You choose a point within range and cause psychic energy to explode there. Each creature in a 20-foot-radius sphere centered on that point must make an Intelligence saving throw. A creature with an Intelligence score of 2 or lower can’t be affected by this spell. A target takes 8d6 psychic damage on a failed save, or half as much damage on a successful one.']","After a failed save, a target has muddled thoughts for 1 minute. During that time, it rolls a d6 and subtracts the number rolled from all its attack rolls and ability checks, as well as its Constitution saving throws to maintain concentration. The target can make an Intelligence saving throw at the end of each of its turns, ending the effect on itself on a success."
hex,Player's Handbook,1,enchantment,1,action,90 feet,"V, S, M (the petrified eye of a newt)","Concentration, up to 1 hour","['You place a curse on a creature that you can see within range. Until the spell ends, you deal an extra 1d6 necrotic damage to the target whenever you hit it with an attack. Also, choose one ability when you cast the spell. The target has disadvantage on ability checks made with the chosen ability.']","If the target drops to 0 hit points before this spell ends, you can use a bonus action on a subsequent turn of yours to curse a new creature."
animal-messenger,Player's Handbook,2,enchantment,1,action,30 feet,"V, S, M (a morsel of food)",24 hours,"['By means of this spell, you use an animal to deliver a message. Choose a Tiny beast you can see within range, such as a squirrel, a blue jay, or a bat. You specify a location, which you must have visited, and a recipient who matches a general description, such as “a man or woman dressed in the uniform of the town guard” or “a red-haired dwarf wearing a pointed hat.” You also speak a message of up to twenty-five words. The target beast travels for the duration of the spell toward the specified location, covering about 50 miles per 24 hours for a flying messenger, or 25 miles for other animals.']","When the messenger arrives, it delivers your message to the creature that you described, replicating the sound of your voice. The messenger speaks only to a creature matching the description you gave. If the messenger doesn’t reach its destination before the spell ends, the message is lost, and the beast makes its way back to where you cast this spell."
spider-climb,Player's Handbook,2,transmutation,1,action,Touch,"V, S, M (a drop of bitumen and a spider)","Concentration, up to 1 hour","['Until the spell ends, one willing creature you touch gains the ability to move up, down, and across vertical surfaces and upside down along ceilings, while leaving its hands free. The target also gains a climbing speed equal to its walking speed.']","Artificer, Sorcerer, Warlock, Wizard"
pass-without-trace,Player's Handbook,2,abjuration,1,action,Self,"V, S, M (ashes from a burned leaf of mistletoe and a sprig of spruce)","Concentration, up to 1 hour","['A veil of shadows and silence radiates from you, masking you and your companions from detection. For the duration, each creature you choose within 30 feet of you (including you) has a +10 bonus to Dexterity (Stealth) checks and can’t be tracked except by magical means. A creature that receives this bonus leaves behind no tracks or other traces of its passage.']","Druid, Ranger"
speak-with-plants,Player's Handbook,3,transmutation,1,action,Self (30-foot radius),"V, S",10 minutes,"['You imbue plants within 30 feet of you with limited sentience and animation, giving them the ability to communicate with you and follow your simple commands. You can question plants about events in the spell’s area within the past day, gaining information about creatures that have passed, weather, and other circumstances.']","You can also turn difficult terrain caused by plant growth (such as thickets and undergrowth) into ordinary terrain that lasts for the duration. Or you can turn ordinary terrain where plants are present into difficult terrain that lasts for the duration, causing vines and branches to hinder pursuers, for example."
nystuls-magic-aura,Player's Handbook,2,illusion,1,action,Touch,"V, S, M (a small square of silk)",24 hours,['You place an illusion on a creature or an object you touch so that divination spells reveal false information about it. The target can be a willing creature or an object that isn’t being carried or worn by another creature.'],"When you cast the spell, choose one or both of the following effects. The effect lasts for the duration. If you cast this spell on the same creature or object every day for 30 days, placing the same effect on it each time, the illusion lasts until it is dispelled."
cone-of-cold,Player's Handbook,5,evocation,1,action,Self (60-foot cone),"V, S, M (a small crystal or glass cone)",Instantaneous,"['A blast of cold air erupts from your hands. Each creature in a 60-foot cone must make a Constitution saving throw. A creature takes 8d8 cold damage on a failed save, or half as much damage on a successful one. A creature killed by this spell becomes a frozen statue until it thaws.']","At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, the damage increases by 1d8 for each slot level above 5th."
widogast-s-transmogrification-hb,Critical Role (Twitter),6,transmutation,1,hour,Touch,"V, S, M (Damp clay equal to the weight of the target and 150 gp worth of crushed gem dust, both of which the spell consumes)",Instantaneous,"[""You permanently alter the physical body of a humanoid creature into another type of humanoid body. After encasing the target in clay, you conduct a rigorous, one-hour-long ritual that manipulates the flesh and function of the target's body into that of another humanoid race. They lose their previous racial traits and instead gain the racial traits of another humanoid race of the target's choice, aside from languages known (which remain unchanged). Should the target wish to alter their gender along with or instead of their race, they can choose to do so as part of the spell. When the ritual is completed, you and the target suffer one level of exhaustion.""]","Once a creature's race or gender has been changed via this spell, they cannot be affected again by this spell for 1 year."
protection-from-energy,Player's Handbook,3,abjuration,1,action,Touch,"V, S","Concentration, up to 1 hour","['For the duration, the willing creature you touch has resistance to one damage type of your choice: acid, cold, fire, lightning, or thunder.']","Artificer, Cleric, Druid, Ranger, Sorcerer, Wizard"
enemies-abound,Xanathar's Guide to Everything,3,enchantment,1,action,120 feet,"V, S","Concentration, up to 1 minute","['You reach into the mind of one creature you can see and force it to make an Intelligence saving throw. A creature automatically succeeds if it is immune to being frightened. On a failed save, the target loses the ability to distinguish friend from foe, regarding all creatures it can see as enemies until the spell ends. Each time the target takes damage, it can repeat the saving throw, ending the effect on itself on a success.']","Whenever the affected creature chooses another creature as a target, it must choose the target at random from among the creatures it can see within range of the attack, spell, or other ability it’s using. If an enemy provokes an opportunity attack from the affected creature, the creature must make that attack if it is able to."
alarm,Player's Handbook,1,abjuration,1,minute,30 feet,"V, S, M (a tiny bell and a piece of fine silver wire)",8 hours,"['You set an alarm against unwanted intrusion. Choose a door, a window, or an area within range that is no larger than a 20-foot cube. Until the spell ends, an alarm alerts you whenever a tiny or larger creature touches or enters the warded area. When you cast the spell, you can designate creatures that won’t set off the alarm. You also choose whether the alarm is mental or audible.']",A mental alarm alerts you with a ping in your mind if you are within 1 mile of the warded area. This ping awakens you if you are sleeping. An audible alarm produces the sound of a hand bell for 10 seconds within 60 feet.
summon-celestial,Tasha's Cauldron of Everything,5,conjuration,1,action,90 feet,"V, S, M (a golden reliquary worth at least 500 gp)","Concentration, up to 1 hour","['You call forth a celestial spirit. It manifests in an angelic form in an unoccupied space that you can see within range. This corporeal form uses the Celestial Spirit stat block. When you cast the spell, choose Avenger or Defender. Your choice determines the creature’s attack in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends.']","The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its move to avoid danger."
decompose,Critical Role (Twitter),0,cantrip,1,action,Touch,"V, S",1 minute,"['You reach out and touch the corpse of a creature. Over the next minute, the corpse begins to rapidly decompose, sprouting fungus and moss as it begins to degrade into compost and mulch. An odd-colored flower or two may also spring from the corpse in this time. Applicable requirements for resurrection are unaffected by this decomposition.']",Cleric
conjure-knowbot,Unearthed Arcana 7 - Modern Magic,4,conjuration,1,action,Touch,"V, S",10 minutes,"['You touch a single computerized device or computer system to conjure a knowbot—a partially sentient piece of software imprinted with vestiges of your own skills and computer abilities. For the duration of the spell, you can use a bonus action to have the knowbot execute a computer related task that would normally require an action. The knowbot makes Intelligence ability checks using your ability score and proficiency bonuses including your proficiency with hacking tools, if applicable.']","You have a limited telepathic bond with the knowbot, out to a range of 500 feet from the device or system where the knowbot was conjured. If you move beyond this range, the knowbot disappears in 2d4 rounds, as if the duration of the spell had expired. Moving within range again immediately reestablishes the bond."
etherealness,Player's Handbook,7,transmutation,1,action,Self,"V, S",Up to 8 hours,"['You step into the border regions of the Ethereal Plane, in the area where it overlaps with your current plane. You remain in the Border Ethereal for the duration or until you use your action to dismiss the spell. During this time, you can move in any direction. If you move up or down, every foot of movement costs an extra foot. You can see and hear the plane you originated from, but everything there looks gray, and you can’t see anything more than 60 feet away.']","While on the Ethereal Plane, you can only affect and be affected by other creatures on that plane. Creatures that aren’t on the Ethereal Plane can’t perceive you and can’t interact with you, unless a special ability or magic has given them the ability to do so."
